premise	hypothesis	label
Beno, horretan pentsatzen ere ez nintzen ari, baina hain frustratuta nengoen, berriro hitz egin nuen harekin.	Ez dut berriz harekin hitz egin.	2
Beno, horretan pentsatzen ere ez nintzen ari, baina hain frustratuta nengoen, berriro hitz egin nuen harekin.	Hain nengoen haserre, ezen berriro hasi nintzen berarekin hitz egiten.	0
Beno, horretan pentsatzen ere ez nintzen ari, baina hain frustratuta nengoen, berriro hitz egin nuen harekin.	Solasaldi ederra izan genuen.	1
Eta pentsatu nuen hori pribilegio bat zela, eta hala izaten jarraitzen du, ni neu nintzen bederatzi bi bi ixa zero bakarra, horixe zen nire AFSC Aireko Indarren Karrerako alorra.	Ez nekien egun hartan ez nintzenla landan zegoen pertsona bakarra.	1
Eta pentsatu nuen hori pribilegio bat zela, eta hala izaten jarraitzen du, ni neu nintzen bederatzi bi bi ixa zero bakarra, horixe zen nire AFSC Aireko Indarren Karrerako alorra.	AFSC Aireko Indarraren Karrera alorrean zenbaki hori zuen bakarra nintzela iruditu zitzaidan.	0
Eta pentsatu nuen hori pribilegio bat zela, eta hala izaten jarraitzen du, ni neu nintzen bederatzi bi bi ixa zero bakarra, horixe zen nire AFSC Aireko Indarren Karrerako alorra.	Guztiei zenbaki berbera eman ziguten, emango zizkigutela agindutako pribilegioak kontuan hartu gabe, dena gezurra zen.	2
Esan zidaten azkenean tipo bati deituko ziotela, ezagutu nezan.	Ez zidaten ezer esan inor ezagutzeari buruz.	2
Esan zidaten azkenean tipo bati deituko ziotela, ezagutu nezan.	Tipo bati biltzeko deituko ziotela esan zidaten, ezagutu nezan.	0
Esan zidaten azkenean tipo bati deituko ziotela, ezagutu nezan.	Apur bat berandu samar agertu zen.	1
Hainbeste gauzaz hitz egin zenezake, ezen hori ez baitut aipatuko.	Horri buruz dakidana guztia kontatu nahi dizut!	2
Hainbeste gauzaz hitz egin zenezake, ezen hori ez baitut aipatuko.	Ez dut horretaz hitz egingo, hitz egiteko asko badago ere.	0
Hainbeste gauzaz hitz egin zenezake, ezen hori ez baitut aipatuko.	Ez dut hitz egingo hiriaren historiaz, zeresan handia baitago.	1
Hori zen salbatu nahi genuen gauza nagusia, ez baitzegoen modurik 20 megatoiko hidrogeno bonba bat botatzeko 30 batetik, C124 batetik.	Ez zitzaigun axola ezer salbatzea.	2
