prem_id	premise	hypothesis_id	hypothesis	label
prem1	The draw is conducted in the presence of a notary and is carried out using a computer program that assigns equiprobable numbers.	prem1_hyp0	A computer and a notary are needed to conduct the draw.	0
prem1	The draw is conducted in the presence of a notary and is carried out using a computer program that assigns equiprobable numbers.	prem1_hyp1	Usually the same notary is present at all drawings.	1
prem1	The draw is conducted in the presence of a notary and is carried out using a computer program that assigns equiprobable numbers.	prem1_hyp2	The drawing is done by placing numbered slips of paper in a container and randomly selecting one.	2
prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp0	Enrike and Ane doing dance steps.	0
prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp1	Ane and Enrike have blue pants.	1
prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp2	Enrike Izagirre and Ane Sarasketa were eating ice cream.	2
prem3	The Sorgintxulo youth center was occupied in 1998 in the empty premises of the Karmelo church.	prem3_hyp0	The owner of Sorgintxulo youth center was the Karmelo church.	0
prem3	The Sorgintxulo youth center was occupied in 1998 in the empty premises of the Karmelo church.	prem3_hyp1	Several concerts are held at the Sorgintxulo youth center.	1
prem3	The Sorgintxulo youth center was occupied in 1998 in the empty premises of the Karmelo church.	prem3_hyp2	The city council gave the Sorgintxulo youth center to a group of young people.	2
prem4	The nine-song album mixes hardcore with rock and metal.	prem4_hyp0	The disc has fewer than ten songs in total.	0
prem4	The nine-song album mixes hardcore with rock and metal.	prem4_hyp1	Each song is about three minutes long, but there is also one that is six minutes long.	1
prem4	The nine-song album mixes hardcore with rock and metal.	prem4_hyp2	Calm melodies dominate the album.	2
prem5	"The movie ""Ballerina"" will arrive at movie theaters the day after tomorrow, in Basque."	prem5_hyp0	"The film ""Ballerina"" will be available to watch in Basque."	0
prem5	"The movie ""Ballerina"" will arrive at movie theaters the day after tomorrow, in Basque."	prem5_hyp1	"""Ballerina"" is an animated film made in France."	1
