prem_id	premise	hypothesis_id	hypothesis	label
prem1	The drawing is conducted before a notary and is carried out using a computer program for the allocation of equiprobable numbers.	prem1_hyp0	A computer and a notary are needed to conduct the drawing.	0
prem1	The drawing is conducted before a notary and is carried out using a computer program for the allocation of equiprobable numbers.	prem1_hyp1	It's usually the same notary in all the drawings.	1
prem1	The drawing is conducted before a notary and is carried out using a computer program for the allocation of equiprobable numbers.	prem1_hyp2	The drawing is conducted by placing numbered slips of paper in a container and randomly drawing one out.	2
prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp0	Enrique and Ana dancing dance steps.	0
prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp1	Ane and Enrique have blue pants.	1
prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp2	Enrique Izaguirre and Ana Sarasqueta were eating ice cream.	2
prem3	The Sorgintxulo gaztetxe was occupied in 1998 in the vacant premises of the Carmelo church.	prem3_hyp0	The Church of Carmen was the owner of the Sorgintxulo youth center.	0
prem3	The Sorgintxulo gaztetxe was occupied in 1998 in the vacant premises of the Carmelo church.	prem3_hyp1	Several concerts are offered at the Sorgintxulo gaztetxe.	1
prem3	The Sorgintxulo gaztetxe was occupied in 1998 in the vacant premises of the Carmelo church.	prem3_hyp2	The Sorgintxulo youth center was ceded by the city council to a group of young people.	2
prem4	The album, composed of nine songs, blends hardcore with rock and metal.	prem4_hyp0	The album has fewer than ten songs in total.	0
prem4	The album, composed of nine songs, blends hardcore with rock and metal.	prem4_hyp1	Each song is approximately three minutes long, although there is also one that is six minutes long.	1
prem4	The album, composed of nine songs, blends hardcore with rock and metal.	prem4_hyp2	Quiet sounds predominate in the album.	2
prem5	"The movie ""Ballerina"" will arrive in theaters the day after tomorrow, in Basque."	prem5_hyp0	The movie Ballerina will be available in Basque.	0
prem5	"The movie ""Ballerina"" will arrive in theaters the day after tomorrow, in Basque."	prem5_hyp1	"""Ballerina"" is an animated film made in France."	1
prem5	"The movie ""Ballerina"" will arrive in theaters the day after tomorrow, in Basque."	prem5_hyp2	"""Ballerina"" won't be available in theaters for another month."	2
prem6	Today, the new work by the Solte group from Santutxu has been published.	prem6_hyp0	The Solte group from Santutxu has completed a new work.	0
prem6	Today, the new work by the Solte group from Santutxu has been published.	prem6_hyp1	The album has arrived after being on hold for the past five years.	1
prem6	Today, the new work by the Solte group from Santutxu has been published.	prem6_hyp2	The Solte group disappeared three years ago.	2
prem7	Although the bertsolari Txirrita was a person who couldn't read, he had an extraordinary instinct for interpreting the information he had gathered.	prem7_hyp0	Txirrita did not read a single book in his entire life.	0
prem7	Although the bertsolari Txirrita was a person who couldn't read, he had an extraordinary instinct for interpreting the information he had gathered.	prem7_hyp1	The bertsolari Basarri, for his part, greatly enjoyed reading novels.	1
prem7	Although the bertsolari Txirrita was a person who couldn't read, he had an extraordinary instinct for interpreting the information he had gathered.	prem7_hyp2	While drinking coffee, Txirrita read the newspaper every morning.	2
prem8	The assignments should not exceed two pages, in A4 format (portrait).	prem8_hyp0	A4 format must be used for the assignments.	0
prem8	The assignments should not exceed two pages, in A4 format (portrait).	prem8_hyp1	Arial size 12 must be used for writing.	1
prem8	The assignments should not exceed two pages, in A4 format (portrait).	prem8_hyp2	Four-page papers will also be accepted.	2
prem9	How peculiar was the life of this Antton and his dwelling even more fascinating!	prem9_hyp0	The place where Antton lived was strange.	0
prem9	How peculiar was the life of this Antton and his dwelling even more fascinating!	prem9_hyp1	Antton had two daughters when he was very young.	1
prem9	How peculiar was the life of this Antton and his dwelling even more fascinating!	prem9_hyp2	Anton had a quiet life, without great adventures.	2
prem10	The Santurtzi Business Center is located in the El Árbol industrial park of Santurtzi, near the A-8 motorway.	prem10_hyp0	The Santurce Business Center is not far from the A-8 motorway.	0
prem10	The Santurtzi Business Center is located in the El Árbol industrial park of Santurtzi, near the A-8 motorway.	prem10_hyp1	There are a total of 27 companies in the El Árbol industrial park.	1
prem10	The Santurtzi Business Center is located in the El Árbol industrial park of Santurtzi, near the A-8 motorway.	prem10_hyp2	The Santurtzi Business Center is in Portugalete, even though the name wouldn't suggest it.	2
prem11	"""Ballerina"" is one of the largest animation co-productions made in Europe in recent years."	prem11_hyp0	"The animated film ""Ballerina"" is made in Europe."	0
prem11	"""Ballerina"" is one of the largest animation co-productions made in Europe in recent years."	prem11_hyp1	The protagonist of the movie is a girl.	1
prem11	"""Ballerina"" is one of the largest animation co-productions made in Europe in recent years."	prem11_hyp2	"Although it was made in the United States of America, the story of ""Ballerina"" is set in Europe."	2
prem12	It is true, indeed, that several passages are probably better understood after having read the book.	prem12_hyp0	Some passages are harder to understand without having read the book.	0
prem12	It is true, indeed, that several passages are probably better understood after having read the book.	prem12_hyp1	They have modified some passages of the book that were horror.	1
prem12	It is true, indeed, that several passages are probably better understood after having read the book.	prem12_hyp2	Not having read the book has no effect.	2
prem13	While Miren was smoking a cigarette by the house window, Lucia approached her and, in front of her husband, began touching Miren.	prem13_hyp0	While Miren was by the house window, Lucia began to touch her.	0
prem13	While Miren was smoking a cigarette by the house window, Lucia approached her and, in front of her husband, began touching Miren.	prem13_hyp1	Miren's husband was watching television when Lucia arrived.	1
prem13	While Miren was smoking a cigarette by the house window, Lucia approached her and, in front of her husband, began touching Miren.	prem13_hyp2	When Lucía arrived, she didn't dare approach Miren, since her husband was present.	2
prem14	"This fall they will begin their third year on the Radio Euskadi radio program ""Sukalde dema""."	prem14_hyp0	Cooking contests have been on Radio Euskadi for more than a year.	0
prem14	"This fall they will begin their third year on the Radio Euskadi radio program ""Sukalde dema""."	prem14_hyp1	The cooking competition hosts changed after the first year.	1
prem14	"This fall they will begin their third year on the Radio Euskadi radio program ""Sukalde dema""."	prem14_hyp2	"The ""Kitchen Challenge"" program only lasted one year on Radio Euskadi."	2
prem15	Furthermore, they don't have the accident report in either Basque or Basque-Spanish.	prem15_hyp0	They don't have the accident report in Basque.	0
prem15	Furthermore, they don't have the accident report in either Basque or Basque-Spanish.	prem15_hyp1	He/She had an accident in the red car two weeks ago.	1
prem15	Furthermore, they don't have the accident report in either Basque or Basque-Spanish.	prem15_hyp2	I've been told that they have an accident report that is completely in Basque.	2
prem16	In Spain, 60% of marriages end in divorce.	prem16_hyp0	More than half of marriages end in divorce in Spain.	0
prem16	In Spain, 60% of marriages end in divorce.	prem16_hyp1	Fewer and fewer people are getting married in church in Spain.	1
prem16	In Spain, 60% of marriages end in divorce.	prem16_hyp2	Less than half are those who separate after getting married.	2
prem17	A people that cannot imagine itself cannot exist.	prem17_hyp0	All existing peoples can be imagined.	0
prem17	A people that cannot imagine itself cannot exist.	prem17_hyp1	There are some villages that have all white houses.	1
prem17	A people that cannot imagine itself cannot exist.	prem17_hyp2	Yesterday we saw an unimaginable town.	2
prem18	In recent days, we have learned of the prosecutor's requests against 48 people for working in matters related to Basque political prisoners, some of them facing more than 20 years.	prem18_hyp0	The prosecution has requested sentences for several people.	0
prem18	In recent days, we have learned of the prosecutor's requests against 48 people for working in matters related to Basque political prisoners, some of them facing more than 20 years.	prem18_hyp1	Most of those who work on the issue of political prisoners are from Gipuzkoa.	1
prem18	In recent days, we have learned of the prosecutor's requests against 48 people for working in matters related to Basque political prisoners, some of them facing more than 20 years.	prem18_hyp2	The Prosecutor's Office has approved the work being carried out by those who work on the issue of political prisoners.	2
prem19	Until now, due to the low level of Basque language proficiency, the overall university entrance exam score was significantly lowered for local students.	prem19_hyp0	The language level influenced the overall university entrance exam score.	0
prem19	Until now, due to the low level of Basque language proficiency, the overall university entrance exam score was significantly lowered for local students.	prem19_hyp1	Last year, the lowest scores in history were recorded in the university entrance exams.	1
prem19	Until now, due to the low level of Basque language proficiency, the overall university entrance exam score was significantly lowered for local students.	prem19_hyp2	The Basque language level did not have importance in the university entrance exam score.	2
prem20	My friend says that, even though he has traveled all over the world, the day he gets sick he will immediately return to the Basque Country.	prem20_hyp0	The friend walks around the world.	0
prem20	My friend says that, even though he has traveled all over the world, the day he gets sick he will immediately return to the Basque Country.	prem20_hyp1	The friend was not born in the Basque Country.	1
prem20	My friend says that, even though he has traveled all over the world, the day he gets sick he will immediately return to the Basque Country.	prem20_hyp2	The friend says that he intends to travel the world forever.	2
prem21	Even though more than 40 years have passed, the movie 'Alien, the eighth passenger' doesn't age.	prem21_hyp0	The movie 'Alien, the eighth passenger' was made more than four decades ago.	0
prem21	Even though more than 40 years have passed, the movie 'Alien, the eighth passenger' doesn't age.	prem21_hyp1	The movie 'Alien' did not receive particularly good reviews initially.	1
prem21	Even though more than 40 years have passed, the movie 'Alien, the eighth passenger' doesn't age.	prem21_hyp2	The movie 'Alien, the eighth passenger' will be released soon.	2
prem22	Our work can often be very difficult, very hard and very dark, and we need to resort to humor from time to time.	prem22_hyp0	Our work tends to be hard more than once.	0
prem22	Our work can often be very difficult, very hard and very dark, and we need to resort to humor from time to time.	prem22_hyp1	We have a good relationship among coworkers, although sometimes we also have some disagreements.	1
prem22	Our work can often be very difficult, very hard and very dark, and we need to resort to humor from time to time.	prem22_hyp2	We always have to be very serious at work.	2
prem23	It is well known that anyone who approaches a public health system will find some flaw and reason to be angry.	prem23_hyp0	There are errors in the public health system.	0
prem23	It is well known that anyone who approaches a public health system will find some flaw and reason to be angry.	prem23_hyp1	The public health system doctors are angry with the adopted measures.	1
prem23	It is well known that anyone who approaches a public health system will find some flaw and reason to be angry.	prem23_hyp2	It can be said that the public health system here is perfect.	2
prem24	Therefore, the neighborhood association is not attractive to young people.	prem24_hyp0	Most of the people who come to the neighborhood association are adults.	0
prem24	Therefore, the neighborhood association is not attractive to young people.	prem24_hyp1	The neighborhood association turned twenty years old last year.	1
prem24	Therefore, the neighborhood association is not attractive to young people.	prem24_hyp2	Lately there are many young people participating in the neighborhood association.	2
prem25	The Antton Abbadie prize, created by the Provincial Council, has been a well-deserved recognition.	prem25_hyp0	He/She deserved to receive the Antton Abbadie award.	0
prem25	The Antton Abbadie prize, created by the Provincial Council, has been a well-deserved recognition.	prem25_hyp1	In addition to the Antton Abbadie prize, they have received others as well.	1
prem25	The Antton Abbadie prize, created by the Provincial Council, has been a well-deserved recognition.	prem25_hyp2	The Antton Abbadie award was granted to the Provincial Council.	2
prem26	In this book, his statements and the details of his way of speaking have been collected.	prem26_hyp0	What they indicated has been recorded in the book.	0
prem26	In this book, his statements and the details of his way of speaking have been collected.	prem26_hyp1	The person who wrote the book is famous.	1
prem26	In this book, his statements and the details of his way of speaking have been collected.	prem26_hyp2	There is very little in the book about language.	2
prem27	It will be interesting to compare the future construction with the photographs taken there.	prem27_hyp0	The photos were taken there.	0
prem27	It will be interesting to compare the future construction with the photographs taken there.	prem27_hyp1	The construction of the future will be better.	1
prem27	It will be interesting to compare the future construction with the photographs taken there.	prem27_hyp2	It is boring to be comparing constructions.	2
prem28	The fronton has 65 seats for people with reduced mobility, and the Trinquet has 16.	prem28_hyp0	The fronton has more seats for people with reduced mobility than the Trinquete.	0
prem28	The fronton has 65 seats for people with reduced mobility, and the Trinquet has 16.	prem28_hyp1	More people usually go to the Fronton to watch matches than to the Trinquet.	1
prem28	The fronton has 65 seats for people with reduced mobility, and the Trinquet has 16.	prem28_hyp2	The Trinquet has at least as many seats as the Fronton for people with reduced mobility.	2
