prem_id	premise	hypothesis_id	hypothesis	label
prem1	El sorteo se realiza ante notario y se lleva a cabo mediante un programa informático para la asignación de números equiprobables.	prem1_hyp0	Se necesitan un ordenador y un notario para realizar el sorteo.	0
prem1	El sorteo se realiza ante notario y se lleva a cabo mediante un programa informático para la asignación de números equiprobables.	prem1_hyp1	Normalmente es el mismo notario en todos los sorteos.	1
prem1	El sorteo se realiza ante notario y se lleva a cabo mediante un programa informático para la asignación de números equiprobables.	prem1_hyp2	El sorteo se realiza introduciendo papeletas numeradas en un recipiente y sacando una al azar.	2
prem2	Enrike Eizagirre y Ane Sarasketa ofreciendo la emocionante danza de Arratia.	prem2_hyp0	Enrique y Ana bailando pasos de baile.	0
prem2	Enrike Eizagirre y Ane Sarasketa ofreciendo la emocionante danza de Arratia.	prem2_hyp1	Ane y Enrique tienen pantalones azules.	1
prem2	Enrike Eizagirre y Ane Sarasketa ofreciendo la emocionante danza de Arratia.	prem2_hyp2	Enrique Izaguirre y Ana Sarasqueta estaban comiendo helado.	2
prem3	El gaztetxe Sorgintxulo fue ocupado en el año 1998 en los locales vacíos de la iglesia del Carmelo.	prem3_hyp0	La iglesia del Carmen era la propietaria del gaztetxe Sorgintxulo.	0
prem3	El gaztetxe Sorgintxulo fue ocupado en el año 1998 en los locales vacíos de la iglesia del Carmelo.	prem3_hyp1	Se ofrecen varios conciertos en el gaztetxe Sorgintxulo.	1
prem3	El gaztetxe Sorgintxulo fue ocupado en el año 1998 en los locales vacíos de la iglesia del Carmelo.	prem3_hyp2	El gaztetxe Sorgintxulo fue cedido por el ayuntamiento a un grupo de jóvenes.	2
prem4	En el disco compuesto por nueve canciones se mezclan el hardcore con el rock y el metal.	prem4_hyp0	El disco tiene menos de diez canciones en total.	0
prem4	En el disco compuesto por nueve canciones se mezclan el hardcore con el rock y el metal.	prem4_hyp1	La duración de cada canción es de aproximadamente tres minutos, aunque también hay una de seis minutos.	1
prem4	En el disco compuesto por nueve canciones se mezclan el hardcore con el rock y el metal.	prem4_hyp2	Los sonidos tranquilos predominan en el disco.	2
prem5	"La película ""Ballerina"" llegará pasado mañana a las salas de cine, en euskera."	prem5_hyp0	La película Ballerina podrá verse en euskera.	0
prem5	"La película ""Ballerina"" llegará pasado mañana a las salas de cine, en euskera."	prem5_hyp1	"""Ballerina"" es una película de animación hecha en Francia."	1
prem5	"La película ""Ballerina"" llegará pasado mañana a las salas de cine, en euskera."	prem5_hyp2	"No se podrá ver ""Ballerina"" en el cine hasta dentro de un mes."	2
prem6	Hoy se ha publicado el nuevo trabajo del grupo Solte de Santutxu.	prem6_hyp0	El grupo Solte de Santutxu ha realizado un nuevo trabajo.	0
prem6	Hoy se ha publicado el nuevo trabajo del grupo Solte de Santutxu.	prem6_hyp1	El disco ha llegado después de estar parado durante los últimos cinco años.	1
prem6	Hoy se ha publicado el nuevo trabajo del grupo Solte de Santutxu.	prem6_hyp2	El grupo Solte desapareció hace tres años.	2
prem7	Aunque el bertsolari Txirrita era una persona que no sabía leer, tenía un instinto extraordinario para hacer lecturas de la información que había recopilado.	prem7_hyp0	Txirrita no leyó ni un solo libro en toda su vida.	0
prem7	Aunque el bertsolari Txirrita era una persona que no sabía leer, tenía un instinto extraordinario para hacer lecturas de la información que había recopilado.	prem7_hyp1	Al bertsolari Basarri, por su parte, le gustaba mucho leer novelas.	1
prem7	Aunque el bertsolari Txirrita era una persona que no sabía leer, tenía un instinto extraordinario para hacer lecturas de la información que había recopilado.	prem7_hyp2	Mientras tomaba café, Txirrita leía el periódico todas las mañanas.	2
prem8	Los trabajos no tendrán más de dos páginas, en formato A4 (vertical).	prem8_hyp0	Se deberá utilizar el formato A4 para realizar los trabajos.	0
prem8	Los trabajos no tendrán más de dos páginas, en formato A4 (vertical).	prem8_hyp1	Se debe utilizar obligatoriamente el tamaño Arial 12 para escribir.	1
prem8	Los trabajos no tendrán más de dos páginas, en formato A4 (vertical).	prem8_hyp2	También se aceptarán trabajos de cuatro páginas.	2
prem9	¡Realmente peculiar fue la vida de este Antton y su morada aún más fascinante!	prem9_hyp0	El lugar donde vivió Antton era extraño.	0
prem9	¡Realmente peculiar fue la vida de este Antton y su morada aún más fascinante!	prem9_hyp1	Antton tuvo dos hijas siendo muy joven.	1
prem9	¡Realmente peculiar fue la vida de este Antton y su morada aún más fascinante!	prem9_hyp2	Antón tuvo una vida tranquila, sin grandes aventuras.	2
prem10	El Centro Empresarial de Santurtzi está ubicado en el polígono industrial El Árbol de Santurtzi, cerca de la autopista A-8.	prem10_hyp0	El Centro Empresarial de Santurce no está lejos de la autopista A-8.	0
prem10	El Centro Empresarial de Santurtzi está ubicado en el polígono industrial El Árbol de Santurtzi, cerca de la autopista A-8.	prem10_hyp1	En el polígono industrial El Árbol hay un total de 27 empresas.	1
prem10	El Centro Empresarial de Santurtzi está ubicado en el polígono industrial El Árbol de Santurtzi, cerca de la autopista A-8.	prem10_hyp2	El Centro Empresarial Santurtzi está en Portugalete, aunque por el nombre no lo parezca.	2
prem11	"""Ballerina"" es una de las mayores coproducciones de animación realizadas en Europa en los últimos años."	prem11_hyp0	"La película de animación ""Ballerina"" está hecha en Europa."	0
prem11	"""Ballerina"" es una de las mayores coproducciones de animación realizadas en Europa en los últimos años."	prem11_hyp1	La protagonista de la película es una chica.	1
prem11	"""Ballerina"" es una de las mayores coproducciones de animación realizadas en Europa en los últimos años."	prem11_hyp2	"Aunque fue hecha en los Estados Unidos de América, la historia de ""Ballerina"" se sitúa en Europa."	2
prem12	Es cierto, por cierto, que probablemente se entienden mejor varios pasajes después de haber leído el libro.	prem12_hyp0	Algunos pasajes son más difíciles de entender sin haber leído el libro.	0
prem12	Es cierto, por cierto, que probablemente se entienden mejor varios pasajes después de haber leído el libro.	prem12_hyp1	Han modificado algunos pasajes del libro que eran de terror.	1
prem12	Es cierto, por cierto, que probablemente se entienden mejor varios pasajes después de haber leído el libro.	prem12_hyp2	No tiene ningún efecto no haber leído el libro.	2
prem13	Mientras Miren fumaba un cigarrillo junto a la ventana de casa, Lucia se le acercó y, delante de su marido, empezó a tocar a Miren.	prem13_hyp0	Mientras Miren estaba junto a la ventana de casa, Lucia empezó a tocarla.	0
prem13	Mientras Miren fumaba un cigarrillo junto a la ventana de casa, Lucia se le acercó y, delante de su marido, empezó a tocar a Miren.	prem13_hyp1	El marido de Miren estaba viendo la televisión cuando llegó Lucia.	1
prem13	Mientras Miren fumaba un cigarrillo junto a la ventana de casa, Lucia se le acercó y, delante de su marido, empezó a tocar a Miren.	prem13_hyp2	Cuando llegó Lucía no se atrevió a acercarse a Miren, ya que su marido estaba presente.	2
prem14	"Este otoño comenzarán su tercer año en el programa de radio ""Sukalde dema"" de Radio Euskadi."	prem14_hyp0	Los concursos de cocina llevan más de un año en Radio Euskadi.	0
prem14	"Este otoño comenzarán su tercer año en el programa de radio ""Sukalde dema"" de Radio Euskadi."	prem14_hyp1	Los presentadores del concurso de cocina cambiaron después del primer año.	1
prem14	"Este otoño comenzarán su tercer año en el programa de radio ""Sukalde dema"" de Radio Euskadi."	prem14_hyp2	"El programa ""Desafío de cocina"" solo duró un año en radio euskadi."	2
prem15	Además, el parte de accidente no lo tienen ni en euskera ni en euskera-castellano.	prem15_hyp0	No tienen el parte de accidente en euskera.	0
prem15	Además, el parte de accidente no lo tienen ni en euskera ni en euskera-castellano.	prem15_hyp1	Tuvo un accidente en el coche rojo hace dos semanas.	1
prem15	Además, el parte de accidente no lo tienen ni en euskera ni en euskera-castellano.	prem15_hyp2	Me han dicho que tienen un parte de accidente que está completamente en euskera.	2
prem16	En España, el 60% de los matrimonios terminan en divorcio.	prem16_hyp0	Más de la mitad de los matrimonios se divorcia en España.	0
prem16	En España, el 60% de los matrimonios terminan en divorcio.	prem16_hyp1	Cada vez son menos los que se casan por la iglesia en el estado español.	1
prem16	En España, el 60% de los matrimonios terminan en divorcio.	prem16_hyp2	Menos de la mitad son los que se separan después de casarse.	2
prem17	Un pueblo que no se imagina no puede existir.	prem17_hyp0	Todos los pueblos que existen pueden ser imaginados.	0
prem17	Un pueblo que no se imagina no puede existir.	prem17_hyp1	Hay algunos pueblos que tienen todas las casas blancas.	1
prem17	Un pueblo que no se imagina no puede existir.	prem17_hyp2	Ayer vimos un pueblo que no se imagina.	2
prem18	En los últimos días hemos conocido las peticiones fiscales contra 48 personas por trabajar en el ámbito de los presos políticos vascos, algunas de ellas superiores a 20 años.	prem18_hyp0	La fiscalía ha solicitado penas para varias personas.	0
prem18	En los últimos días hemos conocido las peticiones fiscales contra 48 personas por trabajar en el ámbito de los presos políticos vascos, algunas de ellas superiores a 20 años.	prem18_hyp1	La mayoría de los que trabajan en el tema de los presos políticos son guipuzcoanos.	1
prem18	En los últimos días hemos conocido las peticiones fiscales contra 48 personas por trabajar en el ámbito de los presos políticos vascos, algunas de ellas superiores a 20 años.	prem18_hyp2	La Fiscalía ha dado el visto bueno a la labor que realizan quienes trabajan en el tema de los presos políticos.	2
prem19	Hasta ahora, debido al bajo nivel de euskera, la nota general en selectividad bajaba mucho a los estudiantes locales.	prem19_hyp0	El nivel de idioma influía en la nota general de selectividad.	0
prem19	Hasta ahora, debido al bajo nivel de euskera, la nota general en selectividad bajaba mucho a los estudiantes locales.	prem19_hyp1	El año pasado se registraron las notas más bajas de la historia en los exámenes de selectividad.	1
prem19	Hasta ahora, debido al bajo nivel de euskera, la nota general en selectividad bajaba mucho a los estudiantes locales.	prem19_hyp2	El nivel de euskera no tenía importancia en la nota de selectividad.	2
prem20	Mi amigo dice que, aunque haya viajado por todo el mundo, el día que enferme volverá inmediatamente al País Vasco.	prem20_hyp0	El amigo anda por el mundo.	0
prem20	Mi amigo dice que, aunque haya viajado por todo el mundo, el día que enferme volverá inmediatamente al País Vasco.	prem20_hyp1	El amigo no nació en el País Vasco.	1
prem20	Mi amigo dice que, aunque haya viajado por todo el mundo, el día que enferme volverá inmediatamente al País Vasco.	prem20_hyp2	El amigo dice que tiene la intención de viajar por el mundo para siempre.	2
prem21	Aunque han pasado más de 40 años, la película 'Alien, el octavo pasajero' no envejece.	prem21_hyp0	La película 'Alien, el octavo pasajero' se realizó hace más de cuatro décadas.	0
prem21	Aunque han pasado más de 40 años, la película 'Alien, el octavo pasajero' no envejece.	prem21_hyp1	La película 'Alien, el octavo pasajero' no recibió críticas especialmente buenas en un principio.	1
