premise	hypothesis	label
Zozketa notario baten aurrean egiten da eta zenbaki ekiprobableak esleitzeko programa informatiko baten bidez egiten da.	Ordenagailu bat eta notario bat behar dira zozketa egiteko.	0
Zozketa notario baten aurrean egiten da eta zenbaki ekiprobableak esleitzeko programa informatiko baten bidez egiten da.	Zozketa guztietan notario bera izaten da normalean.	1
Zozketa notario baten aurrean egiten da eta zenbaki ekiprobableak esleitzeko programa informatiko baten bidez egiten da.	Zozketa zenbakidun papertxoak ontzi batean sartu eta ausaz bat hartuta egiten da.	2
Enrike Eizagirre eta Ane Sarasketa Arratiako dantza kilikagarria eskaintzen.	Enrike eta Ane dantza-pausuak egiten.	0
Enrike Eizagirre eta Ane Sarasketa Arratiako dantza kilikagarria eskaintzen.	Anek eta Enrikek galtza urdinak dituzte.	1
Enrike Eizagirre eta Ane Sarasketa Arratiako dantza kilikagarria eskaintzen.	Enrike Izagirre eta Ane Sarasketa izozkia jaten ari ziren.	2
Sorgintxulo gaztetxea 1998. urtean okupatu zen Karmelo elizaren lokal hutsetan.	Sorgintxulo gaztetxearen jabea Karmelo eliza zen.	0
Sorgintxulo gaztetxea 1998. urtean okupatu zen Karmelo elizaren lokal hutsetan.	Hainbat kontzertu eskaintzen dira Sorgintxulo gaztetxean.	1
Sorgintxulo gaztetxea 1998. urtean okupatu zen Karmelo elizaren lokal hutsetan.	Sorgintxulo gaztetxea udaletxeak eman zion gazte talde bati.	2
Bederatzi kantuz osatutako diskoan hardcorea rock eta metalarekin nahasten dira.	Diskoak hamar kantu baino gutxiago ditu guztira.	0
Bederatzi kantuz osatutako diskoan hardcorea rock eta metalarekin nahasten dira.	Abesti bakoitzaren iraupena hiru minutu ingurukoa da, baina sei minutuko bat ere badago.	1
Bederatzi kantuz osatutako diskoan hardcorea rock eta metalarekin nahasten dira.	Doinu lasaiak dira nagusi diskoan.	2
"Etzi helduko da ""Ballerina"" filma zinema aretoetara, euskaraz."	Ballerina filma euskaraz ikusi ahal izango da.	0
"Etzi helduko da ""Ballerina"" filma zinema aretoetara, euskaraz."	"Animaziozko filma da ""Ballerina"" eta Frantzian egina."	1
"Etzi helduko da ""Ballerina"" filma zinema aretoetara, euskaraz."	"Hilabete barru arte ezingo da ""Ballerina"" zineman ikusi."	2
Gaur kaleratu da Solte talde santutxuarraren lan berria.	Santutxuko Solte taldeak lan berria egin du.	0
Gaur kaleratu da Solte talde santutxuarraren lan berria.	Azken bost urteetan geldirik egon ondoren etorri da diskoa.	1
Gaur kaleratu da Solte talde santutxuarraren lan berria.	Solte taldea duela hiru urte desagertu zen.	2
Txirrita bertsolaria irakurtzen ez zekien pertsona izan arren, sekulako sena zeukan bildutako informazioaren gaineko irakurketak egiteko.	Txirritak ez zuen bere bizitza osoan liburu bat bera ere irakurri.	0
Txirrita bertsolaria irakurtzen ez zekien pertsona izan arren, sekulako sena zeukan bildutako informazioaren gaineko irakurketak egiteko.	Basarri bertsolariari, berriz, asko gustatzen zitzaion eleberriak irakurtzea.	1
Txirrita bertsolaria irakurtzen ez zekien pertsona izan arren, sekulako sena zeukan bildutako informazioaren gaineko irakurketak egiteko.	Kafea hartzen zuen bitartean, egunkaria irakurtzen zuen Txirritak goizero.	2
Lanek bi orrialde baino ez dituzte izango, A4 formatuan (bertikalean).	Lanak egiteko A4 formatua erabili beharko da.	0
Lanek bi orrialde baino ez dituzte izango, A4 formatuan (bertikalean).	Arial 12 tamaina erabili behar da derrigorrez idazteko.	1
Lanek bi orrialde baino ez dituzte izango, A4 formatuan (bertikalean).	Lau orrialdeko lanak ere onartuko dira.	2
Benetan bitxia izan zen Antton honen bizimodua eta bizitokia oraindik liluragarriagoa!	Antton bizi izan zen lekua bitxia zen.	0
Benetan bitxia izan zen Antton honen bizimodua eta bizitokia oraindik liluragarriagoa!	Anttonek bi alaba izan zituen oso gazterik.	1
Benetan bitxia izan zen Antton honen bizimodua eta bizitokia oraindik liluragarriagoa!	Bizimodu lasaia izan zuen Anttonek, abentura handirik gabekoa.	2
Santurtzi Elkartegia Santurtziko El Árbol industrialdean dago, A-8 autobidearen inguruetan.	Santurtzi Elkartegia ez dago A-8 autobidetik urrun.	0
Santurtzi Elkartegia Santurtziko El Árbol industrialdean dago, A-8 autobidearen inguruetan.	El Árbol industrialdean 27 enpresa daude denera.	1
Santurtzi Elkartegia Santurtziko El Árbol industrialdean dago, A-8 autobidearen inguruetan.	Santurtzi Elkartegia Portugaleten dago, izenagatik ematen ez duen arren.	2
"Azken urteotan Europan egin den animaziozko koprodukzio handienetakoa da ""Ballerina""."	"Europan egina da ""Ballerina"" animaziozko filma."	0
"Azken urteotan Europan egin den animaziozko koprodukzio handienetakoa da ""Ballerina""."	Filmeko protagonista neska da.	1
"Azken urteotan Europan egin den animaziozko koprodukzio handienetakoa da ""Ballerina""."	"Ameriketako Estatu Batuetan egina izan arren, Europan kokatzen da ""Ballerina""-ko istorioa."	2
Egia da, bidenabar, liburua irakurrita edukita hobeto ulertzen direla hainbat pasarte, seguruenik.	Pasarte batzuk zailagoak dira ulertzen liburua irakurri gabe.	0
Egia da, bidenabar, liburua irakurrita edukita hobeto ulertzen direla hainbat pasarte, seguruenik.	Liburuan beldurrezkoak diren pasarte batzuk aldatu egin dituzte.	1
Egia da, bidenabar, liburua irakurrita edukita hobeto ulertzen direla hainbat pasarte, seguruenik.	Liburua irakurri gabe izateak ez du batere eraginik.	2
Miren etxeko leiho ondoan zigarro bat erretzen ari zela, Lucia gerturatu zitzaion, eta, bere gizonaren aurrean, Miren ukitzen hasi zen.	Miren etxeko leihoaren alboan zegoela, Lucia bera ukitzen hasi zen.	0
Miren etxeko leiho ondoan zigarro bat erretzen ari zela, Lucia gerturatu zitzaion, eta, bere gizonaren aurrean, Miren ukitzen hasi zen.	Mirenen gizona telebista ikusten ari zen Lucia etorri zenean.	1
Miren etxeko leiho ondoan zigarro bat erretzen ari zela, Lucia gerturatu zitzaion, eta, bere gizonaren aurrean, Miren ukitzen hasi zen.	Lucia iritsi zenean ez zen Mirenengana hurbiltzera ausartu, bere gizona aurrean baitzegoen.	2
"Euskadi irratiko ""Sukalde dema"" irrati saioan hirugarren urtea hasiko dute udazken honetan."	Sukalde dema saioak urte bat baino gehiago darama euskadi irratian.	0
"Euskadi irratiko ""Sukalde dema"" irrati saioan hirugarren urtea hasiko dute udazken honetan."	Sukalde dema saioan aurkezleak aldatu ziren lehenengo urtea eta gero.	1
"Euskadi irratiko ""Sukalde dema"" irrati saioan hirugarren urtea hasiko dute udazken honetan."	"Urtebete bakarrik iraun zuen ""Sukalde dema"" saioak euskadi irratian."	2
Gainera istripu-partea ez daukate ez euskaraz ezta euskara-gaztelaniaz ere.	Euskarazko istripu-parterik ez daukate.	0
Gainera istripu-partea ez daukate ez euskaraz ezta euskara-gaztelaniaz ere.	Auto gorrian izan zuen istripua duela bi aste.	1
Gainera istripu-partea ez daukate ez euskaraz ezta euskara-gaztelaniaz ere.	Euskara hutsean dagoen istripu-parte bat dutela esan didate.	2
Espainian, ezkonduen %60 dibortziatzen dira.	Ezkonduen erdia baino gehiago banatu egiten da Espainian.	0
Espainian, ezkonduen %60 dibortziatzen dira.	Espainiar estatuan gero eta gutxiago dira elizatik ezkontzen direnak.	1
Espainian, ezkonduen %60 dibortziatzen dira.	Erdia baino gutxiago dira ezkondu eta gero banatzen direnak.	2
Irudikatzen ez den herri bat ezin da existitu.	Existitzen diren herri guztiak irudikatu daitezke.	0
