ann_id	change_type	probintzia	prem_id	premise	hypothesis	label
g6	dialectal	gipuzkoa	prem1	Zozketa notario baten aurrian iten da eta ordenagailu bidez eztakize zenbaki emango dituzte.	Ordenagailu bat eta notario bat behar dira zozketa egiteko.	0
g6	dialectal	gipuzkoa	prem1	Zozketa notario baten aurrian iten da eta ordenagailu bidez eztakize zenbaki emango dituzte.	Zozketa zenbakidun papertxoak ontzi batean sartu eta ausaz bat hartuta egiten da.	2
g6	dialectal	gipuzkoa	prem1	Zozketa notario baten aurrian iten da eta ordenagailu bidez eztakize zenbaki emango dituzte.	Zozketa guztietan notario bera izaten da normalean.	1
s3	dialectal	bizkaia	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiko dantza interesanti eskaintzen.	Anek eta Enrikek galtza urdinak dituzte.	1
s2	toka	gipuzkoa	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiako dantza eleantea eskaintzen.	Enrike Izagirre eta Ane Sarasketa izozkia jaten ari ziren.	2
s2	toka	gipuzkoa	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiako dantza eleantea eskaintzen.	Enrike eta Ane dantza-pausuak egiten.	0
s1	dialectal	bizkaia	prem2	Enrike Eizagirre da Ane Sarasketa Arratiko dantza kilikagarridxe eskeintzen.	Anek eta Enrikek galtza urdinak dituzte.	1
s2	noka	gipuzkoa	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiako dantza eleantea eskaintzen.	Anek eta Enrikek galtza urdinak dituzte.	1
s2	noka	gipuzkoa	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiako dantza eleantea eskaintzen.	Enrike Izagirre eta Ane Sarasketa izozkia jaten ari ziren.	2
s2	noka	gipuzkoa	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiako dantza eleantea eskaintzen.	Enrike eta Ane dantza-pausuak egiten.	0
s1	dialectal	bizkaia	prem2	Enrike Eizagirre da Ane Sarasketa Arratiko dantza kilikagarridxe eskeintzen.	Enrike eta Ane dantza-pausuak egiten.	0
s3	dialectal	bizkaia	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiko dantza interesanti eskaintzen.	Enrike eta Ane dantza-pausuak egiten.	0
s1	dialectal	bizkaia	prem2	Enrike Eizagirre da Ane Sarasketa Arratiko dantza kilikagarridxe eskeintzen.	Enrike Izagirre eta Ane Sarasketa izozkia jaten ari ziren.	2
s2	toka	gipuzkoa	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiako dantza eleantea eskaintzen.	Anek eta Enrikek galtza urdinak dituzte.	1
s3	dialectal	bizkaia	prem2	Enrike Eizagirre ta Ane Sarasketa Arratiko dantza interesanti eskaintzen.	Enrike Izagirre eta Ane Sarasketa izozkia jaten ari ziren.	2
s3	dialectal	bizkaia	prem3	Sorgintzulo gaztetxi 1998. urtin okupa zan Karmelo elixin lokal huts batzutan.	Sorgintxulo gaztetxea udaletxeak eman zion gazte talde bati.	2
s3	dialectal	bizkaia	prem3	Sorgintzulo gaztetxi 1998. urtin okupa zan Karmelo elixin lokal huts batzutan.	Sorgintxulo gaztetxearen jabea Karmelo eliza zen.	0
s3	dialectal	bizkaia	prem3	Sorgintzulo gaztetxi 1998. urtin okupa zan Karmelo elixin lokal huts batzutan.	Hainbat kontzertu eskaintzen dira Sorgintxulo gaztetxean.	1
s3	dialectal	bizkaia	prem4	Beatzi kantakin einddako diskun hardcori rockaz eta metalaz nahastaten diz.	Diskoak hamar kantu baino gutxiago ditu guztira.	0
