ann_id	change_type	herrialdea	prem_id	premise	hypothesis_id	hypothesis	label
6	berridazketa	Ecuador	prem1	The drawing is conducted before a notary public and is carried out using software for the selection of winners.	prem1_hyp0	A computer and a notary are needed to conduct the drawing.	0
6	berridazketa	Ecuador	prem1	The drawing is conducted before a notary public and is carried out using software for the selection of winners.	prem1_hyp1	It's usually the same notary in all the drawings.	1
6	berridazketa	Ecuador	prem1	The drawing is conducted before a notary public and is carried out using software for the selection of winners.	prem1_hyp2	The drawing is conducted by placing numbered slips of paper in a container and randomly drawing one out.	2
6	berridazketa	Ecuador	prem2	Enrike Eizagirre and Ane Sarasketa present themselves performing the exciting dance of Arratia.	prem2_hyp0	Enrique and Ana dancing dance steps.	0
6	berridazketa	Ecuador	prem2	Enrike Eizagirre and Ane Sarasketa present themselves performing the exciting dance of Arratia.	prem2_hyp1	Ane and Enrique have blue pants.	1
6	berridazketa	Ecuador	prem2	Enrike Eizagirre and Ane Sarasketa present themselves performing the exciting dance of Arratia.	prem2_hyp2	Enrique Izaguirre and Ana Sarasqueta were eating ice cream.	2
6	berridazketa	Ecuador	prem3	The Sorgintxulo gaztetxe was occupied in 1998 in the vacant spaces of El Carmelo church.	prem3_hyp0	The Church of Carmen was the owner of the Sorgintxulo youth center.	0
6	berridazketa	Ecuador	prem3	The Sorgintxulo gaztetxe was occupied in 1998 in the vacant spaces of El Carmelo church.	prem3_hyp1	Several concerts are offered at the Sorgintxulo gaztetxe.	1
6	berridazketa	Ecuador	prem3	The Sorgintxulo gaztetxe was occupied in 1998 in the vacant spaces of El Carmelo church.	prem3_hyp2	The Sorgintxulo youth center was ceded by the city council to a group of young people.	2
6	berridazketa	Ecuador	prem4	The album, composed of nine songs, blends heavy rock with traditional rock and soft rock.	prem4_hyp0	The album has fewer than ten songs in total.	0
6	berridazketa	Ecuador	prem4	The album, composed of nine songs, blends heavy rock with traditional rock and soft rock.	prem4_hyp1	Each song is approximately three minutes long, although there is also one that is six minutes long.	1
6	berridazketa	Ecuador	prem4	The album, composed of nine songs, blends heavy rock with traditional rock and soft rock.	prem4_hyp2	Quiet sounds predominate in the album.	2
6	berridazketa	Ecuador	prem5	"The movie ""Ballerina"" will premiere the day after tomorrow in theaters, in Basque."	prem5_hyp0	The movie Ballerina will be available in Basque.	0
6	berridazketa	Ecuador	prem5	"The movie ""Ballerina"" will premiere the day after tomorrow in theaters, in Basque."	prem5_hyp1	"""Ballerina"" is an animated film made in France."	1
6	berridazketa	Ecuador	prem5	"The movie ""Ballerina"" will premiere the day after tomorrow in theaters, in Basque."	prem5_hyp2	"""Ballerina"" won't be available in theaters for another month."	2
6	berridazketa	Ecuador	prem6	The new work by the Solte group from Santutxu was published today.	prem6_hyp0	The Solte group from Santutxu has completed a new work.	0
6	berridazketa	Ecuador	prem6	The new work by the Solte group from Santutxu was published today.	prem6_hyp1	The album has arrived after being on hold for the past five years.	1
6	berridazketa	Ecuador	prem6	The new work by the Solte group from Santutxu was published today.	prem6_hyp2	The Solte group disappeared three years ago.	2
6	berridazketa	Ecuador	prem7	Although the bertsolari Txirrita was illiterate, he had a great intuition for interpreting the information he had gathered.	prem7_hyp0	Txirrita did not read a single book in his entire life.	0
6	berridazketa	Ecuador	prem7	Although the bertsolari Txirrita was illiterate, he had a great intuition for interpreting the information he had gathered.	prem7_hyp1	The bertsolari Basarri, for his part, greatly enjoyed reading novels.	1
6	berridazketa	Ecuador	prem7	Although the bertsolari Txirrita was illiterate, he had a great intuition for interpreting the information he had gathered.	prem7_hyp2	While drinking coffee, Txirrita read the newspaper every morning.	2
6	berridazketa	Ecuador	prem8	The assignments should be a maximum of two pages, in A4 size (portrait).	prem8_hyp0	A4 format must be used for the assignments.	0
6	berridazketa	Ecuador	prem8	The assignments should be a maximum of two pages, in A4 size (portrait).	prem8_hyp1	Arial size 12 must be used for writing.	1
6	berridazketa	Ecuador	prem8	The assignments should be a maximum of two pages, in A4 size (portrait).	prem8_hyp2	Four-page papers will also be accepted.	2
6	berridazketa	Ecuador	prem9	Antton's life was truly peculiar, and his house even more fascinating!	prem9_hyp0	The place where Antton lived was strange.	0
6	berridazketa	Ecuador	prem9	Antton's life was truly peculiar, and his house even more fascinating!	prem9_hyp1	Antton had two daughters when he was very young.	1
6	berridazketa	Ecuador	prem9	Antton's life was truly peculiar, and his house even more fascinating!	prem9_hyp2	Anton had a quiet life, without great adventures.	2
6	berridazketa	Ecuador	prem10	The Santurtzi Business Center is located in the El Árbol industrial park of Santurtzi, near the A-8 highway.	prem10_hyp0	The Santurce Business Center is not far from the A-8 motorway.	0
6	berridazketa	Ecuador	prem10	The Santurtzi Business Center is located in the El Árbol industrial park of Santurtzi, near the A-8 highway.	prem10_hyp1	There are a total of 27 companies in the El Árbol industrial park.	1
6	berridazketa	Ecuador	prem10	The Santurtzi Business Center is located in the El Árbol industrial park of Santurtzi, near the A-8 highway.	prem10_hyp2	The Santurtzi Business Center is in Portugalete, even though the name wouldn't suggest it.	2
6	berridazketa	Ecuador	prem11	Ballerina is one of the largest animation co-productions made in Europe in recent times.	prem11_hyp0	"The animated film ""Ballerina"" is made in Europe."	0
6	berridazketa	Ecuador	prem11	Ballerina is one of the largest animation co-productions made in Europe in recent times.	prem11_hyp1	The protagonist of the movie is a girl.	1
6	berridazketa	Ecuador	prem11	Ballerina is one of the largest animation co-productions made in Europe in recent times.	prem11_hyp2	"Although it was made in the United States of America, the story of ""Ballerina"" is set in Europe."	2
6	berridazketa	Ecuador	prem12	It's true that several passages are probably better understood after having read the book.	prem12_hyp0	Some passages are harder to understand without having read the book.	0
6	berridazketa	Ecuador	prem12	It's true that several passages are probably better understood after having read the book.	prem12_hyp1	They have modified some passages of the book that were horror.	1
6	berridazketa	Ecuador	prem12	It's true that several passages are probably better understood after having read the book.	prem12_hyp2	Not having read the book has no effect.	2
6	berridazketa	Ecuador	prem13	While Miren was smoking by the house window, Lucia approached him and, in front of her husband, began to touch him.	prem13_hyp0	While Miren was by the house window, Lucia began to touch her.	0
6	berridazketa	Ecuador	prem13	While Miren was smoking by the house window, Lucia approached him and, in front of her husband, began to touch him.	prem13_hyp1	Miren's husband was watching television when Lucia arrived.	1
6	berridazketa	Ecuador	prem13	While Miren was smoking by the house window, Lucia approached him and, in front of her husband, began to touch him.	prem13_hyp2	When Lucía arrived, she didn't dare approach Miren, since her husband was present.	2
6	berridazketa	Ecuador	prem14	"This fall, they will begin their third year on the Radio Euskadi radio program ""Sukalde dema."""	prem14_hyp0	Cooking contests have been on Radio Euskadi for more than a year.	0
6	berridazketa	Ecuador	prem14	"This fall, they will begin their third year on the Radio Euskadi radio program ""Sukalde dema."""	prem14_hyp1	The cooking competition hosts changed after the first year.	1
6	berridazketa	Ecuador	prem14	"This fall, they will begin their third year on the Radio Euskadi radio program ""Sukalde dema."""	prem14_hyp2	"The ""Kitchen Challenge"" program only lasted one year on Radio Euskadi."	2
6	berridazketa	Ecuador	prem15	Furthermore, the police report is neither in Basque nor in Basque-Spanish.	prem15_hyp0	They don't have the accident report in Basque.	0
6	berridazketa	Ecuador	prem15	Furthermore, the police report is neither in Basque nor in Basque-Spanish.	prem15_hyp1	He/She had an accident in the red car two weeks ago.	1
6	berridazketa	Ecuador	prem15	Furthermore, the police report is neither in Basque nor in Basque-Spanish.	prem15_hyp2	I've been told that they have an accident report that is completely in Basque.	2
6	berridazketa	Ecuador	prem16	In Spain, more than half of marriages end in divorce.	prem16_hyp0	More than half of marriages end in divorce in Spain.	0
6	berridazketa	Ecuador	prem16	In Spain, more than half of marriages end in divorce.	prem16_hyp1	Fewer and fewer people are getting married in church in Spain.	1
6	berridazketa	Ecuador	prem16	In Spain, more than half of marriages end in divorce.	prem16_hyp2	Less than half are those who separate after getting married.	2
6	berridazketa	Ecuador	prem17	A people that cannot imagine itself cannot exist.	prem17_hyp0	All existing peoples can be imagined.	0
6	berridazketa	Ecuador	prem17	A people that cannot imagine itself cannot exist.	prem17_hyp1	There are some villages that have all white houses.	1
6	berridazketa	Ecuador	prem17	A people that cannot imagine itself cannot exist.	prem17_hyp2	Yesterday we saw an unimaginable town.	2
6	berridazketa	Ecuador	prem18	In recent days, we have learned of the prosecutorial complaints against 48 people for working in matters related to Basque political prisoners, some of them facing more than 20 years.	prem18_hyp0	The prosecution has requested sentences for several people.	0
6	berridazketa	Ecuador	prem18	In recent days, we have learned of the prosecutorial complaints against 48 people for working in matters related to Basque political prisoners, some of them facing more than 20 years.	prem18_hyp1	Most of those who work on the issue of political prisoners are from Gipuzkoa.	1
6	berridazketa	Ecuador	prem18	In recent days, we have learned of the prosecutorial complaints against 48 people for working in matters related to Basque political prisoners, some of them facing more than 20 years.	prem18_hyp2	The Prosecutor's Office has approved the work being carried out by those who work on the issue of political prisoners.	2
6	berridazketa	Ecuador	prem19	Until now, due to the low level of Basque language proficiency, the general qualifying score for selection left out many local students.	prem19_hyp0	The language level influenced the overall university entrance exam score.	0
