ann_id	change_type	prem_id	premise	hypothesis_id	hypothesis	label
g6	dialectal	prem1	The drawing is conducted in front of a notary and they will give out numbers by computer.	prem1_hyp0	A computer and a notary are needed to conduct the draw.	0
g6	dialectal	prem1	The drawing is conducted in front of a notary and they will give out numbers by computer.	prem1_hyp1	Usually the same notary is present at all drawings.	1
g6	dialectal	prem1	The drawing is conducted in front of a notary and they will give out numbers by computer.	prem1_hyp2	The drawing is done by placing numbered slips of paper in a container and randomly selecting one.	2
s2	toka	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp0	Enrike and Ane doing dance steps.	0
s2	toka	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp1	Ane and Enrike have blue pants.	1
s2	toka	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp2	Enrike Izagirre and Ane Sarasketa were eating ice cream.	2
s2	noka	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp0	Enrike and Ane doing dance steps.	0
s2	noka	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp1	Ane and Enrike have blue pants.	1
s2	noka	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp2	Enrike Izagirre and Ane Sarasketa were eating ice cream.	2
s2	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp0	Enrike and Ane doing dance steps.	0
s2	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp1	Ane and Enrike have blue pants.	1
s2	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing the elegant dance of Arratia.	prem2_hyp2	Enrike Izagirre and Ane Sarasketa were eating ice cream.	2
s3	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing an interesting Arratia dance.	prem2_hyp0	Enrike and Ane doing dance steps.	0
s3	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing an interesting Arratia dance.	prem2_hyp1	Ane and Enrike have blue pants.	1
s3	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing an interesting Arratia dance.	prem2_hyp2	Enrike Izagirre and Ane Sarasketa were eating ice cream.	2
s4	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp0	Enrike and Ane doing dance steps.	0
s4	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp1	Ane and Enrike have blue pants.	1
s4	dialectal	prem2	Enrike Eizagirre and Ane Sarasketa performing the exciting Arratia dance.	prem2_hyp2	Enrike Izagirre and Ane Sarasketa were eating ice cream.	2
s1	dialectal	prem2	Enrike Eizagirre is performing the exciting Arratia dance with Ane Sarasketa.	prem2_hyp0	Enrike and Ane doing dance steps.	0
s1	dialectal	prem2	Enrike Eizagirre is performing the exciting Arratia dance with Ane Sarasketa.	prem2_hyp1	Ane and Enrike have blue pants.	1
